0.95,1.1,15.2,17.75,
1.77,0.55,2.9,3.02,
1.46,4.8,,,
1.14,0.55,10.8,12.2,12.49
0.57,1.1,10.8,12.2,13.58
0.72,1.1,8.3,8.47,
1.28,0.7,14.9,,
0.53,0.7,8.7,8.55,
0.36,2.05,1.11,1.43,
0.2,0.55,17.1,18.32,
1.77,1.1,16.2,16.9,
0.3,0.86,,,
0.83,0.7,,,
0.72,1.1,6.28,8.11,8.39
0.9,1.1,1.11,1.48,
1.86,1.1,7.1,12.2,11.99
1.1,1.1,10.8,15.3,
1.14,0.7,10.8,11.12,
1.91,2.11,,,
0.17,1.1,13.2,13.83,
1.86,0.91,,,
0.23,0.55,0.7,0.53,
0.04,0.9,,,
0.48,0.11,,,
0.41,1.1,0.55,0.94,
0.05,0.26,,,
0.71,1.08,,,
0.47,0.69,,,
1.51,0.1,,,
0.31,1.57,,,
0.52,0.44,,,
0.88,0.61,,,
1.52,0.55,0.7,0.35,
0.85,0.95,,,
0.96,1.1,0.7,0.88,
0.33,0.55,1.1,1.52,
1.75,0.79,,,
0.56,1.51,,,
0.26,0.7,1.1,0.65,
1.06,1.39,,,
