1.43,1.3,1.4,2.8,3.09,
0.92,0.8,1.4,15.1,15.27,
2.44,2.05,1.4,2.58,3.4,
0.01,0.8,1.4,9.1,8.51,8.02
2.37,2.58,1.4,14.2,2.5,2.16
1.5,1.55,2.15,3.71,,
1.1,1.05,1.4,9,,
0.74,0.75,1.4,1.01,0.69,
2.99,2.58,2.4,3.15,7.31,7.51
0.11,0.35,0.55,1.9,0.23,
1.48,0.8,1.4,6.02,5.93,
1.46,2.1,1.75,1.46,,
0.96,0.85,1.4,2.58,12.18,
0.77,0.75,0.55,10.11,12.47,12.85
1.3,1.4,1.9,7.31,8.14,
1.81,1.8,1.4,9.1,15.2,15.8
1.29,1.15,1.4,9.1,1.03,
1.52,1.55,1.4,14.2,14.65,
0.72,0.8,1.4,2.05,3.15,
1.94,2.15,1.9,15.1,15.39,
0.41,0.8,1.4,1.54,,
0.19,0.35,0.7,1.9,2.04,
1.04,0.5,1.4,1.35,,
0.52,0.5,0.35,0.5,,
1.84,2.02,1.9,0.7,0.42,
1.49,2.15,2.1,1.02,,
2.95,2.58,2.3,2.31,,
1.42,1.9,2.58,2.55,,
1.89,1.8,1.4,2.15,2.64,
1.47,1.4,0.8,0.19,,
1.09,0.75,0.5,0.53,,
2.86,2.58,1.4,0.85,1.06,
0.56,0.8,1.4,1.9,2.15,2.2
2.92,2.58,2.3,2.27,,
0.36,0.55,1.9,1.75,1.99,
1.54,1.4,0.8,0.04,,
2.27,2.05,1.4,2.58,0.78,
1.23,1.4,2.05,2.57,,
1.86,2.02,1.4,0.65,0.5,
0.46,0.75,1.4,0.9,0.57,
